[order_id]
1
[pallet_quantity]
3
[pallet_id 	 x 	 y 	 z 	 weight 	 total_load]
0	1200	800	1500	25000	635190
[total_volume 	 total_occupied_volume 	 m1 	 m2]
1440000000	1366164328	1.17347	29.0598
[item_quantity]
117
[xmin 	 ymin 	 zmin 	 xmax 	 ymax 	 zmax 	 sequence 	 item_type 	 weight 	 k 	 irregular]
0	0	0	368	124	126	0	98	500	0	0
370	0	0	520	375	150	1	26	6170	0	0
520	0	0	810	200	120	2	128	6360	0	0
810	0	0	925	200	120	3	135	2240	0	0
520	200	0	724	384	120	4	25	3440	0	0
724	200	0	928	384	120	5	25	3440	0	0
520	0	120	952	352	438	6	36	16820	0	0
952	0	0	1076	368	126	7	101	500	0	0
1076	0	0	1200	368	126	8	101	500	0	0
0	124	0	368	248	126	9	98	500	0	0
0	248	0	368	372	126	10	98	500	0	0
370	375	0	520	750	150	11	26	6170	0	0
0	372	0	368	496	126	12	98	500	0	0
0	496	0	368	620	126	13	98	500	0	0
0	620	0	368	744	126	14	98	500	0	0
223	758	0	443	800	118	15	108	510	0	0
0	760	0	223	800	122	16	105	420	0	0
520	394	0	746	800	282	17	51	6000	0	0
370	0	150	520	375	300	18	26	6170	0	0
0	0	126	370	160	276	19	27	6120	0	0
952	0	126	1076	368	252	20	101	500	0	0
1076	0	126	1200	368	252	21	101	500	0	0
0	160	126	370	320	276	22	27	6120	0	0
370	375	150	520	750	300	23	26	6170	0	0
0	320	126	370	480	276	24	27	6120	0	0
0	480	126	370	640	276	25	27	6120	0	0
0	640	126	370	800	276	26	27	6120	0	0
952	0	252	1188	330	410	27	63	7300	0	0
746	394	0	972	800	282	28	51	6000	0	0
972	394	0	1198	800	282	29	51	6000	0	0
370	0	300	520	375	450	30	26	6170	0	0
0	0	276	370	160	426	31	27	6120	0	0
0	160	276	370	320	426	32	27	6120	0	0
0	320	276	370	480	426	33	27	6120	0	0
0	480	276	370	640	426	34	27	6120	0	0
0	640	276	370	800	426	35	27	6120	0	0
370	375	300	520	750	450	36	26	6170	0	0
520	368	282	872	800	600	37	38	16820	0	0
872	360	282	1076	544	402	38	25	3440	0	0
520	0	438	952	352	756	39	36	16820	0	0
952	0	410	1188	330	568	40	63	7300	0	0
872	360	402	1076	544	522	41	25	3440	0	0
1076	346	282	1200	544	451	42	109	1230	0	0
370	0	450	520	375	600	43	26	6170	0	0
0	0	426	370	160	576	44	27	6120	0	0
0	160	426	370	320	576	45	27	6120	0	0
370	375	450	520	750	600	46	26	6170	0	0
0	320	426	370	480	576	47	27	6120	0	0
0	480	426	370	640	576	48	27	6120	0	0
0	640	426	370	800	576	49	27	6120	0	0
952	0	568	1188	330	726	50	63	7300	0	0
872	366	522	1072	544	622	51	123	620	0	0
1076	346	451	1200	544	620	52	110	1230	0	0
872	544	282	1180	800	454	53	65	7200	0	0
872	544	454	1180	800	626	54	65	7200	0	0
520	368	600	872	800	918	55	39	16820	0	0
370	0	600	520	375	750	56	26	6170	0	0
0	0	576	370	160	726	57	27	6120	0	0
0	160	576	370	320	726	58	27	6120	0	0
370	375	600	520	750	750	59	26	6170	0	0
0	320	576	370	480	726	60	27	6120	0	0
0	480	576	370	640	726	61	27	6120	0	0
0	640	576	370	800	726	62	27	6120	0	0
370	0	750	520	375	900	63	26	6170	0	0
0	0	726	330	240	888	64	61	7100	0	0
520	0	756	950	350	1071	65	40	15420	0	0
952	0	726	1188	330	884	66	63	7300	0	0
872	405	626	1112	800	921	67	44	8500	0	0
1112	414	626	1198	800	828	68	29	6700	0	0
0	240	726	370	364	852	69	79	700	0	0
370	375	750	520	750	900	70	26	6170	0	0
950	0	884	1190	250	1034	71	121	7680	0	0
950	250	884	1194	398	982	72	30	4300	0	0
520	356	918	844	578	1072	73	64	7140	0	0
370	0	900	520	375	1050	74	26	6170	0	0
0	0	888	330	236	1046	75	62	7300	0	0
0	240	852	368	364	978	76	99	500	0	0
520	578	918	844	800	1072	77	64	7140	0	0
370	375	900	520	750	1050	78	26	6170	0	0
950	250	982	1150	370	1032	79	104	100	0	0
870	405	921	1110	800	1216	80	45	8500	0	0
1112	416	828	1196	800	1026	81	35	6040	0	0
950	0	1034	1175	390	1324	82	49	3040	0	0
1110	416	1026	1194	800	1224	83	34	6040	0	0
520	0	1071	950	350	1386	84	43	15420	0	0
870	394	1216	1096	800	1498	85	52	6000	0	0
520	370	1072	870	800	1387	86	41	15420	0	0
370	0	1050	520	375	1200	87	26	6170	0	0
370	0	1200	520	375	1350	88	26	6170	0	0
0	0	1046	330	236	1204	89	62	7300	0	0
0	240	978	368	364	1104	90	99	500	0	0
0	368	726	352	800	1044	91	37	16820	0	0
370	375	1050	520	750	1200	92	26	6170	0	0
370	375	1200	520	750	1350	93	26	6170	0	0
370	0	1350	520	375	1500	94	26	6170	0	0
0	0	1204	330	236	1362	95	62	7300	0	0
0	240	1104	368	364	1230	96	99	500	0	0
0	240	1230	368	364	1356	97	99	500	0	0
0	368	1044	352	800	1362	98	37	16820	0	0
520	0	1386	716	172	1498	99	23	2100	0	0
716	0	1386	912	172	1498	100	23	2100	0	0
520	172	1386	716	344	1498	101	23	2100	0	0
716	172	1386	912	344	1498	102	23	2100	0	0
950	0	1324	1186	270	1482	103	119	6280	0	0
692	408	1387	864	604	1499	104	23	2100	0	0
520	408	1387	692	604	1499	105	23	2100	0	0
692	604	1387	864	800	1499	106	23	2100	0	0
520	604	1387	692	800	1499	107	23	2100	0	0
370	375	1350	520	750	1500	108	26	6170	0	0
950	270	1324	1200	390	1499	109	9	4300	0	0
1096	400	1224	1196	800	1498	110	117	1940	0	0
0	0	1362	368	124	1488	111	99	500	0	0
0	124	1362	368	248	1488	112	99	500	0	0
208	248	1362	368	538	1492	113	28	6640	0	0
0	248	1362	208	536	1488	114	33	8220	0	0
0	552	1362	368	676	1488	115	78	680	0	0
0	676	1362	368	800	1488	116	101	500	0	0
[pallet_id 	 x 	 y 	 z 	 weight 	 total_load]
1	1200	800	1499	25000	452470
[total_volume 	 total_occupied_volume 	 m1 	 m2]
1439040000	1354533732	1.23377	28.5714
[item_quantity]
91
[xmin 	 ymin 	 zmin 	 xmax 	 ymax 	 zmax 	 sequence 	 item_type 	 weight 	 k 	 irregular]
0	0	0	304	155	170	0	82	880	0	0
304	0	0	604	256	168	1	68	7520	0	0
